color,description,id,img,link,material,price,title
Grønn,"Hettegenser i to-lags materiale med børstet innside som kommer tre ulike varianter. Dame, herre og barnemodell.Moderne passorm, hette med robust snor og en felles lomme i front med ""inngang"" på to sider.Jakkene er utstyrt med en lomme på hver side av glidelåsen. 2x2 rib i ermet og nederkant.Kan vaskes på 40 grader.Cottover tilbyr klær med hensyn til mennesker og miljø. Produktene er sertifisert av Nordic Ecolabel, Fairtrade, GOTS og ØKO-TEX.Et produkt med disse sertifiseringene betyr at plagget har møtt alle kravene til organisasjonene bak merkingen.Cottover har nøye valgt ut sine hjertesaker med tanke på kvalitet, helse, miljø og arbeidsforhold. All bomull er 100% økologisk.",141011-645,https://prodimg.unpr.io/itemimage/805/products/500/141011_645.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80725320-205334/hood-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",259,Hood Kid (gots)
Rød,"Hettegenser i to-lags materiale med børstet innside som kommer tre ulike varianter. Dame, herre og barnemodell.Moderne passorm, hette med robust snor og en felles lomme i front med ""inngang"" på to sider.Jakkene er utstyrt med en lomme på hver side av glidelåsen. 2x2 rib i ermet og nederkant.Kan vaskes på 40 grader.Cottover tilbyr klær med hensyn til mennesker og miljø. Produktene er sertifisert av Nordic Ecolabel, Fairtrade, GOTS og ØKO-TEX.Et produkt med disse sertifiseringene betyr at plagget har møtt alle kravene til organisasjonene bak merkingen.Cottover har nøye valgt ut sine hjertesaker med tanke på kvalitet, helse, miljø og arbeidsforhold. All bomull er 100% økologisk.",141011-460,https://prodimg.unpr.io/itemimage/805/products/500/141011_460.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80725320-205333/hood-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",259,Hood Kid (gots)
Rosa,"Genser med rund hals i en moderne passform. Kommer som  unisex og barnemodell i en moderne passform.2x2 rib på kragekant, ermer og nederkant.  Dekorative sømmer ton-i-ton ved halskanten.",141015-425,https://prodimg.unpr.io/itemimage/805/products/500/15a730e972ed13.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80729080-270018/crew-neck-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",199,Crew Neck Kid (gots)
Svart,"Genser med rund hals i en moderne passform. Kommer som  unisex og barnemodell i en moderne passform.2x2 rib på kragekant, ermer og nederkant.  Dekorative sømmer ton-i-ton ved halskanten.",141015-990,https://prodimg.unpr.io/itemimage/805/products/500/141015_990.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80729080-205380/crew-neck-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",199,Crew Neck Kid (gots)
Kull,"Genser med rund hals i en moderne passform. Kommer som  unisex og barnemodell i en moderne passform.2x2 rib på kragekant, ermer og nederkant.  Dekorative sømmer ton-i-ton ved halskanten.",141015-980,https://prodimg.unpr.io/itemimage/805/products/500/141015_980.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80729080-205379/crew-neck-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",199,Crew Neck Kid (gots)
Himmelblå,"Genser med rund hals i en moderne passform. Kommer som  unisex og barnemodell i en moderne passform.2x2 rib på kragekant, ermer og nederkant.  Dekorative sømmer ton-i-ton ved halskanten.",141015-725,https://prodimg.unpr.io/itemimage/805/products/500/141015_725.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80729080-205377/crew-neck-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",199,Crew Neck Kid (gots)
Grønn,"Genser med rund hals i en moderne passform. Kommer som  unisex og barnemodell i en moderne passform.2x2 rib på kragekant, ermer og nederkant.  Dekorative sømmer ton-i-ton ved halskanten.",141015-645,https://prodimg.unpr.io/itemimage/805/products/500/141015_645.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80729080-205376/crew-neck-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",199,Crew Neck Kid (gots)
Rød,"Genser med rund hals i en moderne passform. Kommer som  unisex og barnemodell i en moderne passform.2x2 rib på kragekant, ermer og nederkant.  Dekorative sømmer ton-i-ton ved halskanten.",141015-460,https://prodimg.unpr.io/itemimage/805/products/500/141015_460.jpg,https://www.xpressprofil.no/sortiment/profilklar/sweatshirts/80729080-205375/crew-neck-kid-gots,"80% Økologisk Fairtrade bomull, 20% resirkulert polyester",199,Crew Neck Kid (gots)
Kobaltblå,LED-lommelykt med 2 dioder som med håndkraft lader opp de innebygde batteriene. En bra løsning som gjør at du slipper å lete etter nye batterier når du trenger lys. Bra miljøvalg. Patent: EU Nr. 363627-0002,GI4532-23,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac13ece043.jpg,https://www.xpressprofil.no/sortiment/andre/verktoy/lommelykter/111358980-316331/dynamo-led-lommelykt,"ABS, Nylon","18,83",Dynamo LED lommelykt
Gul,LED-lommelykt med 2 dioder som med håndkraft lader opp de innebygde batteriene. En bra løsning som gjør at du slipper å lete etter nye batterier når du trenger lys. Bra miljøvalg. Patent: EU Nr. 363627-0002,GI4532-06,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac13e1f06e.jpg,https://www.xpressprofil.no/sortiment/andre/verktoy/lommelykter/111358980-316329/dynamo-led-lommelykt,"ABS, Nylon","18,83",Dynamo LED lommelykt
Svart,LED-lommelykt med 2 dioder som med håndkraft lader opp de innebygde batteriene. En bra løsning som gjør at du slipper å lete etter nye batterier når du trenger lys. Bra miljøvalg. Patent: EU Nr. 363627-0002,GI4532-01,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac13db918b.jpg,https://www.xpressprofil.no/sortiment/andre/verktoy/lommelykter/111358980-316328/dynamo-led-lommelykt,"ABS, Nylon","18,83",Dynamo LED lommelykt
rød,Norquay vattert jakke dame. sateng.Innvendig stormklaff med hakebeskyttelse.Kontrastfarget glidelås sentrert i front.Håndlommer med glidelås.Formede sømmer og midje for bedre passform.Elastikk.Drastykker til glidelås med godt grep.Kontrastfarget hempe.Transferlabel for etikettfri komfort. 290T vevet 100% polyester med vannavstøtende finish. Vattering i 100% polyester. 60 g/m².,3932225,https://prodimg.unpr.io/itemimage/800/products/500/15b3357a38e39a.jpg,https://www.xpressprofil.no/sortiment/profilklar/jakker/sesongjakker/108476940-289625/norquay-vattert-jakke-dame,290T vevet 100% polyester med vannavstøtende finish. Vattering i 100% polyester.,"610,4",Norquay vattert jakke dame
Khaki,"Caps i bomull , 5 paneler med sandwich skjerm og borrelåsjustering",GI9120-13,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac438854c8.jpg,https://www.xpressprofil.no/sortiment/kapser-hodeplagg/kapser/112103460-318465/caps-med-6-paneler-og-sandwich,"PVC, Bomull Twill 23x23","21,32",Caps med 6 paneler og sandwich
Röd,"Caps i bomull , 5 paneler med sandwich skjerm og borrelåsjustering",GI9120-08,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac438203bf.jpg,https://www.xpressprofil.no/sortiment/kapser-hodeplagg/kapser/112103460-318464/caps-med-6-paneler-og-sandwich,"PVC, Bomull Twill 23x23","21,32",Caps med 6 paneler og sandwich
Grå,"Caps i bomull , 5 paneler med sandwich skjerm og borrelåsjustering",GI9120-03,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac436d9a1a.jpg,https://www.xpressprofil.no/sortiment/kapser-hodeplagg/kapser/112103460-318461/caps-med-6-paneler-og-sandwich,"PVC, Bomull Twill 23x23","21,32",Caps med 6 paneler og sandwich
Vit,"Caps i bomull , 5 paneler med sandwich skjerm og borrelåsjustering",GI9120-02,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac43677944.jpg,https://www.xpressprofil.no/sortiment/kapser-hodeplagg/kapser/112103460-318460/caps-med-6-paneler-og-sandwich,"PVC, Bomull Twill 23x23","21,32",Caps med 6 paneler og sandwich
Svart,"Caps i bomull , 5 paneler med sandwich skjerm og borrelåsjustering",GI9120-01,https://prodimg.unpr.io/itemimage/1124/products/500/15b7ac43610f74.jpg,https://www.xpressprofil.no/sortiment/kapser-hodeplagg/kapser/112103460-318459/caps-med-6-paneler-og-sandwich,"PVC, Bomull Twill 23x23","21,32",Caps med 6 paneler og sandwich
"hvit,svart ensfarget","Bloomington messeveske. Fint nett til en rimelig pris for messer, konferanser og forretningsmøter med friske farger og den populære dyppfargetrenden. Åpent hovedrom og penneholder i front. Håndtakene er 30 cm. Accessoirer er ikke inkludert. 600D polyester.",12010000,https://prodimg.unpr.io/itemimage/800/products/500/159637812e84ee.jpg,https://www.xpressprofil.no/sortiment/vesker/bags-og-poser/bager/89903480-226562/bloomington-messeveske,600D polyester.,"31,03",Bloomington messeveske
"naturhvit,rød","Bomullsnett. Bomullsnett (227 g/m²) med åpent hovedrommet . Paneler i flere farger gjør dette til en perfekt bag for shopping, på stranden eller daglig bruk. 30 cm. doble håndtak. 227 g/m² bomull.",12025902,https://prodimg.unpr.io/itemimage/800/products/500/159637ab997016.jpg,https://www.xpressprofil.no/sortiment/vesker/bags-og-poser/bager/90020040-226871/bomullsnett,227 g/m² bomull.,"34,14",Bomullsnett
"naturhvit,svart ensfarget","Bomullsnett. Bomullsnett (227 g/m²) med åpent hovedrommet . Paneler i flere farger gjør dette til en perfekt bag for shopping, på stranden eller daglig bruk. 30 cm. doble håndtak. 227 g/m² bomull.",12025900,https://prodimg.unpr.io/itemimage/800/products/500/159637ab8e9ba4.jpg,https://www.xpressprofil.no/sortiment/vesker/bags-og-poser/bager/90020040-226869/bomullsnett,227 g/m² bomull.,"34,14",Bomullsnett
sjøblå,Omaha skulderveske. Skulderveske med åpent hovedrom som lukkes med klaff med spennelukking. Justerbar skulderreim. 600D polyester.,11973305,https://prodimg.unpr.io/itemimage/800/products/500/15963754de7765.jpg,https://www.xpressprofil.no/sortiment/vesker/skuldervesker/89767180-226228/omaha-skulderveske,600D polyester.,"65,2",Omaha skulderveske
hvit,Omaha skulderveske. Skulderveske med åpent hovedrom som lukkes med klaff med spennelukking. Justerbar skulderreim. 600D polyester.,11973303,https://prodimg.unpr.io/itemimage/800/products/500/15963754cde0e2.jpg,https://www.xpressprofil.no/sortiment/vesker/skuldervesker/89767180-226226/omaha-skulderveske,600D polyester.,"65,2",Omaha skulderveske
marineblå,Omaha skulderveske. Skulderveske med åpent hovedrom som lukkes med klaff med spennelukking. Justerbar skulderreim. 600D polyester.,11973301,https://prodimg.unpr.io/itemimage/800/products/500/15963754bb621f.jpg,https://www.xpressprofil.no/sortiment/vesker/skuldervesker/89767180-226224/omaha-skulderveske,600D polyester.,"65,2",Omaha skulderveske
svart ensfarget,Omaha skulderveske. Skulderveske med åpent hovedrom som lukkes med klaff med spennelukking. Justerbar skulderreim. 600D polyester.,11973300,https://prodimg.unpr.io/itemimage/800/products/500/15963754b3bb40.jpg,https://www.xpressprofil.no/sortiment/vesker/skuldervesker/89767180-226223/omaha-skulderveske,600D polyester.,"65,2",Omaha skulderveske
sølv,"Leonis 9-LED lommelykt. Stilig lykt med klart, hvitt lys fra 9 LED-pærer, armbånd og av-/på-knapp i enden. Krever 3 x AAA-batterier (ikke inkludert). Aluminium.",10410500,https://prodimg.unpr.io/itemimage/800/products/500/15963640c60d59.jpg,https://www.xpressprofil.no/sortiment/andre/verktoy/lommelykter/88976640-223833/leonis-9-led-lommelykt,Aluminium.,"26,9",Leonis 9-LED lommelykt
Hvit,"Nyhet, Testvinner hos TV2 Hjelper deg!",23156-4,https://prodimg.unpr.io/itemimage/940/products/500/5cebeafc4a8be.jpg,https://www.xpressprofil.no/sortiment/andre/verktoy/tennere/146037460-415325/pureflame,,119,Pureflame
Hvit,Webcam cover for bruk på laptop. Webcam cover med firmalogo gir beskyttelse foran kameraet om din maskin skulle bli hacket. Populær og rimelig giveaway. ,Webcam Classic-4,https://prodimg.unpr.io/itemimage/940/products/500/5c4ef4a420224.jpg,https://www.xpressprofil.no/sortiment/mobile-tablet/tilbehor-mobile-tablet/129266920-362732/webcam-cover-classic,,14,Webcam cover classic
Webcam blokker med firmalogo,Webcam cover for bruk på laptop. Webcam cover med firmalogo gir beskyttelse foran kameraet om din maskin skulle bli hacket. Populær og rimelig giveaway. ,Webcam Classic-3,https://prodimg.unpr.io/itemimage/940/products/500/5c4ef4a40a591.jpg,https://www.xpressprofil.no/sortiment/mobile-tablet/tilbehor-mobile-tablet/129266920-362731/webcam-cover-classic,,14,Webcam cover classic
Sort,"Nyhet, Testvinner hos TV2 Hjelper deg!",23156-3,https://prodimg.unpr.io/itemimage/940/products/500/5cebeafbe59e3.jpg,https://www.xpressprofil.no/sortiment/andre/verktoy/tennere/146037460-415324/pureflame,,119,Pureflame
Cream,"Perk farget espressokrus. Keramisk espressokrus med trendy fargede overflater. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 80ml. Presentert i hvit pappeske. Keramikk.",10054403,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac7058ce3.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/109046580-291663/perk-farget-espressokrus,Keramikk.,"24,83",Perk farget espressokrus
hvit,"Grotto keramikk krus. Et må-ha keramisk krus med lokk. Matt utførelse og håndtak i tre kombinert med svart belagt rustfritt stål. Volumkapasitet er 475 ml. Leveres i gaveeske. Keramikk, rustfritt stål og tre.",10043001,https://prodimg.unpr.io/itemimage/800/products/500/15963627bf1aea.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/88902380-223619/grotto-keramikk-krus,"Keramikk, rustfritt stål og tre.","143,8",Grotto keramikk krus
"hvit,grå",Curve kjølende og lekkasjesikkert beger. Drikkeflaske med doble vegger og skrukork med 360-graders drikkemulighet. Volum 400ml. Leveres i gaveeske. BPA-fri akryl.,10023801,https://prodimg.unpr.io/itemimage/800/products/500/159636089dd084.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/88814020-223330/curve-kjolende-og-lekkasjesikkert-beger,BPA-fri akryl.,"96,3",Curve kjølende og lekkasjesikkert beger
rød,"Perk farget espressokrus. Keramisk espressokrus med trendy fargede overflater. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 80ml. Presentert i hvit pappeske. Keramikk.",10054402,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac6ee0273.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/109046580-291662/perk-farget-espressokrus,Keramikk.,"24,83",Perk farget espressokrus
rød,"Alps termokrus med karabinkrok. 200 ml krus med stort håndtak i rustfritt stål, karabinkrok i håndtaket. Passer ypperlig på campingturer eller utendørsaktiviteter. Rustfritt stål både utvendig og innvendig.",10056302,https://prodimg.unpr.io/itemimage/800/products/500/15c3bfc827dad6.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/108977020-358443/alps-termokrus-med-karabinkrok,Rustfritt stål både utvendig og innvendig.,"63,2",Alps termokrus med karabinkrok
Gul,"Chalk skrivekrus. Dette kruset kan tilpasses personlig ved å skrive på tavleoverflaten med kritt. Krittet er inkludert. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 300ml. Presentert i en hvit pappeske. Keramikk.",10052603,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac28c666e.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/109035300-291628/chalk-skrivekrus,Keramikk.,"28,97",Chalk skrivekrus
brun,"Sussix prikkete krus. Keramiske krus med on--trend, prikkete overflate. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 325ml. Presentert i hvit pappeske. Keramikk.",10054303,https://prodimg.unpr.io/itemimage/800/products/500/15b70e67a7807f.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/113336740-304576/sussix-prikkete-krus,Keramikk.,"42,41",Sussix prikkete krus
svart ensfarget,"Peeta vakuum kobber isolert termokopp. Slitesterk termokopp som er ideell for reise og som passer i de fleste koppholdere. Lekkasjesikkert lokk med enkel flip åpning. Rustfritt stål, dobbeltvegget vakuumkonstruksjon med kobberisolasjon som holder drikken varm i 8 timer og kald i 24 timer. Konstruksjonen forhindrer også kondens på utsiden av kruset. Volum 500 ml. Leveres i Avenue gaveeske. Rustfritt stål.",10046901,https://prodimg.unpr.io/itemimage/800/products/500/1598806723079e.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/90713760-229143/peeta-vakuum-kobber-isolert-termokopp,Rustfritt stål.,"193,5",Peeta vakuum kobber isolert termokopp
grå,"Sussix prikkete krus. Keramiske krus med on--trend, prikkete overflate. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 325ml. Presentert i hvit pappeske. Keramikk.",10054302,https://prodimg.unpr.io/itemimage/800/products/500/15b70e6794c6bd.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/113336740-304575/sussix-prikkete-krus,Keramikk.,"42,41",Sussix prikkete krus
svart ensfarget,"Sussix prikkete krus. Keramiske krus med on--trend, prikkete overflate. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 325ml. Presentert i hvit pappeske. Keramikk.",10054300,https://prodimg.unpr.io/itemimage/800/products/500/15b70e6766ffae.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/113336740-304573/sussix-prikkete-krus,Keramikk.,"42,41",Sussix prikkete krus
rød,"Chalk skrivekrus. Dette kruset kan tilpasses personlig ved å skrive på tavleoverflaten med kritt. Krittet er inkludert. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 300ml. Presentert i en hvit pappeske. Keramikk.",10052602,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac2779787.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/109035300-291627/chalk-skrivekrus,Keramikk.,"28,97",Chalk skrivekrus
hvit,"Chalk skrivekrus. Dette kruset kan tilpasses personlig ved å skrive på tavleoverflaten med kritt. Krittet er inkludert. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 300ml. Presentert i en hvit pappeske. Keramikk.",10052600,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac26d8f7a.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-porselen/109035300-291625/chalk-skrivekrus,Keramikk.,"28,97",Chalk skrivekrus
blå,"Alps termokrus med karabinkrok. 200 ml krus med stort håndtak i rustfritt stål, karabinkrok i håndtaket. Passer ypperlig på campingturer eller utendørsaktiviteter. Rustfritt stål både utvendig og innvendig.",10056301,https://prodimg.unpr.io/itemimage/800/products/500/15c3bfc7f8516f.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/108977020-358442/alps-termokrus-med-karabinkrok,Rustfritt stål både utvendig og innvendig.,"63,2",Alps termokrus med karabinkrok
blå,"Hugo kobber vakuumisolert termokrus. Dobbeltvegget vakuumkonstruksjon i rustfritt stål med kobberisolasjon, som også forhindrer kondens på utsiden. Det vridde geometriske designet er PFs eget design. Holder din drikke varm i 8 timer og kald i 24 timer.Transparent lokk med bred åpning for komfortabel påfylling og tømming. Volum 470 ml. Avenue gaveeske. Rustfritt stål.",10052003,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac02f2cf1.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/109029660-291607/hugo-kobber-vakuumisolert-termokrus,Rustfritt stål.,"144,9",Hugo kobber vakuumisolert termokrus
hvit,"Tahoe te og kaffe keramiske krus med trelokk. Koselig keramisk krus med vintage-overflate på koppesiden. Har en nyskapende groove design på toppen for å holde teposer. Tre, push-on lokk, sølesikker. EN12875-1-kompatibel; kan kjøres i oppvaskmaskin, også når dekorert. Volumet er 470ml. Presentert i en Avenue gaveeske. Keramikk og treverk.",10053701,https://prodimg.unpr.io/itemimage/800/products/500/15b70e672a8c6b.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/kopper-steintoy/113335800-304572/tahoe-te-og-kaffe-keramiske-krus-med-trelokk,Keramikk og treverk.,"136,6",Tahoe te og kaffe keramiske krus med trelokk
